Order Date,Sales,Profit,Quantity,Discount,Customer ID,Order ID,Region,State/Province,Segment,Ship Mode,Sub-Category
2023-01-01,62.1,15.22,4,0.05,CUST-0155,ORD-2023-00245,Central,Ohio,Corporate,Standard Class,Binders
2023-01-01,105.26,12.64,6,0.3,CUST-0324,ORD-2023-00903,Central,Illinois,Home Office,Standard Class,Binders
2023-01-01,44.34,9.71,3,0.2,CUST-0324,ORD-2023-00903,Central,Illinois,Home Office,Standard Class,Binders
2023-01-01,7946.58,902.73,6,0.2,CUST-0324,ORD-2023-00903,Central,Illinois,Home Office,Standard Class,Copiers
2023-01-01,366.89,45.13,8,0.3,CUST-0324,ORD-2023-00903,Central,Illinois,Home Office,Standard Class,Accessories
2023-01-01,361.99,53.21,2,0.0,CUST-0148,ORD-2023-02640,South,Florida,Consumer,First Class,Appliances
2023-01-01,143.94,25.63,7,0.2,CUST-0163,ORD-2023-02948,East,New York,Corporate,Standard Class,Binders
2023-01-01,1221.78,67.61,6,0.05,CUST-0163,ORD-2023-02948,East,New York,Corporate,Standard Class,Machines
2023-01-01,94.7,11.76,4,0.2,CUST-0163,ORD-2023-02948,East,New York,Corporate,Standard Class,Binders
2023-01-01,90.66,21.31,4,0.0,CUST-0163,ORD-2023-02948,East,New York,Corporate,Standard Class,Paper
2023-01-01,1582.57,214.12,4,0.2,CUST-0199,ORD-2023-03798,Central,Michigan,Corporate,First Class,Phones
2023-01-01,104.69,16.86,1,0.0,CUST-0199,ORD-2023-03798,Central,Michigan,Corporate,First Class,Storage
2023-01-01,518.54,48.61,7,0.1,CUST-0199,ORD-2023-03798,Central,Michigan,Corporate,First Class,Appliances
2023-01-01,190.8,36.0,5,0.15,CUST-0199,ORD-2023-03798,Central,Michigan,Corporate,First Class,Accessories
2023-01-02,89.73,12.2,4,0.15,CUST-0042,ORD-2023-00590,Central,Illinois,Home Office,Standard Class,Binders
2023-01-02,115.39,11.77,6,0.0,CUST-0042,ORD-2023-00590,Central,Illinois,Home Office,Standard Class,Furnishings
2023-01-02,142.7,35.19,7,0.0,CUST-0037,ORD-2023-00704,South,Georgia,Corporate,Standard Class,Binders
2023-01-02,447.24,15.44,4,0.0,CUST-0037,ORD-2023-00704,South,Georgia,Corporate,Standard Class,Tables
2023-01-02,193.39,20.65,2,0.05,CUST-0037,ORD-2023-00704,South,Georgia,Corporate,Standard Class,Appliances
2023-01-02,14.55,1.47,1,0.2,CUST-0161,ORD-2023-00914,South,Georgia,Consumer,Standard Class,Storage
2023-01-02,4.96,1.12,1,0.0,CUST-0161,ORD-2023-00914,South,Georgia,Consumer,Standard Class,Paper
2023-01-02,87.32,24.3,3,0.05,CUST-0161,ORD-2023-00914,South,Georgia,Consumer,Standard Class,Paper
2023-01-02,215.2,17.94,5,0.1,CUST-0366,ORD-2023-01837,West,Washington,Corporate,Standard Class,Storage
2023-01-02,243.38,8.51,2,0.15,CUST-0189,ORD-2023-02306,Central,Ohio,Corporate,Second Class,Storage
2023-01-02,89.38,23.32,6,0.05,CUST-0189,ORD-2023-02306,Central,Ohio,Corporate,Second Class,Paper
2023-01-02,1213.47,64.32,3,0.05,CUST-0189,ORD-2023-02306,Central,Ohio,Corporate,Second Class,Tables
2023-01-02,1041.51,247.83,1,0.0,CUST-0099,ORD-2023-03580,East,New York,Consumer,First Class,Phones
2023-01-02,980.7,192.53,2,0.0,CUST-0099,ORD-2023-03580,East,New York,Consumer,First Class,Phones
2023-01-02,1366.81,139.16,3,0.05,CUST-0214,ORD-2023-03807,East,New York,Corporate,Standard Class,Tables
2023-01-02,81.69,15.91,3,0.05,CUST-0432,ORD-2023-04046,West,Washington,Consumer,Second Class,Paper
2023-01-02,422.39,36.31,3,0.05,CUST-0432,ORD-2023-04046,West,Washington,Consumer,Second Class,Storage
2023-01-02,258.63,38.19,6,0.05,CUST-0432,ORD-2023-04046,West,Washington,Consumer,Second Class,Storage
2023-01-02,1035.31,35.62,4,0.05,CUST-0051,ORD-2023-05118,East,Massachusetts,Corporate,First Class,Tables
2023-01-03,982.38,149.03,2,0.0,CUST-0450,ORD-2023-01697,West,Oregon,Corporate,Standard Class,Machines
2023-01-03,1966.96,-32.43,4,0.3,CUST-0450,ORD-2023-01697,West,Oregon,Corporate,Standard Class,Machines
2023-01-03,91.31,12.09,2,0.05,CUST-0450,ORD-2023-01697,West,Oregon,Corporate,Standard Class,Furnishings
2023-01-03,493.29,68.89,5,0.05,CUST-0450,ORD-2023-01697,West,Oregon,Corporate,Standard Class,Storage
2023-01-03,93.96,15.55,3,0.1,CUST-0117,ORD-2023-02229,West,Washington,Consumer,Standard Class,Binders
2023-01-03,247.74,25.46,3,0.15,CUST-0117,ORD-2023-02229,West,Washington,Consumer,Standard Class,Accessories
2023-01-03,214.08,18.02,1,0.1,CUST-0117,ORD-2023-02229,West,Washington,Consumer,Standard Class,Furnishings
2023-01-03,97.71,17.96,7,0.2,CUST-0125,ORD-2023-03034,South,Georgia,Consumer,Standard Class,Binders
2023-01-03,4301.57,216.8,8,0.05,CUST-0092,ORD-2023-03253,West,Washington,Corporate,First Class,Bookcases
2023-01-03,127.15,25.74,7,0.1,CUST-0092,ORD-2023-03253,West,Washington,Corporate,First Class,Paper
2023-01-03,1987.34,80.87,4,0.2,CUST-0092,ORD-2023-03253,West,Washington,Corporate,First Class,Bookcases
2023-01-03,4141.06,598.16,4,0.0,CUST-0092,ORD-2023-03253,West,Washington,Corporate,First Class,Phones
2023-01-04,47.61,3.33,1,0.2,CUST-0155,ORD-2023-00980,Central,Illinois,Consumer,Standard Class,Storage
2023-01-04,958.74,123.71,6,0.05,CUST-0155,ORD-2023-00980,Central,Illinois,Consumer,Standard Class,Machines
2023-01-04,401.49,69.62,6,0.05,CUST-0155,ORD-2023-00980,Central,Illinois,Consumer,Standard Class,Accessories
